prediction,ground_truth,filename
"Ta natitêrsa, o desenvolevimento da maúor fra cinema --","Na Inglaterra, o desenvolvimento da indústria cinemato-",0230-022-01-01.txt
prárica teve o coabetio de calitinar a nação e intigrar oro,gráfica teve o objetivo de aglutinar a nação e integrar os --é--,0230-022-01-02.txt
Civernas secorentociais cricecialmente auranto crtresulio o,"diversos setores sociais, especialmente durante crises. No --en--",0230-022-01-03.txt
"en tanto, no Brasil, se mantere como umesao dótigaco","entanto, no Brasil, se manteve como um espaço elitizado",0230-022-01-04.txt
o ue vo insorce as atupas mais --ate-- pateres e margêrais.,que não insere os grupos mais --pode-- pobres e marginais,0230-022-01-05.txt
Nio ocinâmica cultuural maderna. Nosso sencivali nadi-,na dinâmica cultural moderna. Nesse sentido é indis-,0230-022-01-06.txt
civsáível a demora ização edes eticiço- do cinema,pensável a democratização --desse espaço-- do cinema,0230-022-01-07.txt
sara integrar as pmaulator atiaadas volarômeso aolíica,para integrar as populações alijadas no processo político,0230-022-01-08.txt
e social bras feio.,e social brasileiro.,0230-022-01-09.txt
"De acoriado com a pulasário atesão tans, o acesso à im-","De acordo com o filosófo alemão Kant, o acesso à in-",0230-022-02-01.txt
ermacãs e ao conhreintantão é essencial cara a enen-,formação e ao conhecimento é essencial para a eman-,0230-022-02-02.txt
"vioaado ao inpiersádiuo. Nessa oersscativa, não incos-","cipação do indivíduo. Nessa perspectiva, não incor-",0230-022-02-03.txt
iorar um público aleranpente às salas de dinema é en-,porar um público abrangente às salas de cinema é evi-,0230-022-02-04.txt
tar o ure a froequlação anabilera se tõorne mais arática a,tar que a população brasileira se torne mais crítica e,0230-022-02-05.txt
"onfciente de seue eaapes sociais. Assim, rertringir es-","consciente de seus papeís sociais. Assim, restringir es-",0230-022-02-06.txt
ses escatas aos aranoes centros uaclarais e torrtas -do-,ses espaços aos grandes centros urbanos é tornar --a de--,0230-022-02-07.txt
--imapoto a astítia e as alecisõaes messos demoráias.,--o Brasil-- a política e as decisões menos democráticas.,0230-022-02-08.txt
"Além disso, a cemomaização do acesso pne estimee-","Além disso, a democratização do acesso pode estimu-",0230-022-03-01.txt
"tar muolandas nuas arastrias a sogigeções, o ue haje re-","lar mudanças nas próprias produções, que hoje re-",0230-022-03-02.txt
eem somente a cento de visa elubsla hobenárico.,fletem somente o ponto de vista elitista e hegemônico.,0230-022-03-03.txt
"Assem, como acprceu com o cinema liartaue cênra","Assim, como ocorreu com o ""Cinema Novo"" que tinha",0230-022-03-04.txt
"éines ialador para osarderas sociais, Alemameti-","filmes voltados para os aspectos sociais, a democrati-",0230-022-03-05.txt
ração aorie antaeuurezor a inolinicã.,zação pode amadurecer a indústria.,0230-022-03-06.txt
lossa conso # #e#  a- um cinema demoorática esa-,"Dessa forma, ##--um--## --o cinema-- um cinema democrático esta-",0230-022-04-01.txt
"aplece aivainos aranpas soziais. Com isso, aracerves do Cra-","belece diversos avanços sociais. Com isso, é dever do Esta-",0230-022-04-02.txt
co incenitivas sabas cinema ogróficas para sorananoçes cos-,do incentivar salas cinematográficas fora dos grandes cen-,0230-022-04-03.txt
smar o or meio do Ministirdada ultina o ulo uliclianá-,"tros por meio do Ministério da Cultura, que subsidiará",0230-022-04-04.txt
"esses espasar, para permeis -s- acetho igcalfiário à.","esses espaços, para permitir --um-- o acesso igualitário às",0230-022-04-05.txt
a asiíaçde o permitira ua esso cmoguatião afere as mo-,produções e permitir que esse novo público altere as --so--,0230-022-04-06.txt
sersaiciias o comaido dinema elacional  minial.,perspectivas e temas do cinema nacional e mundial.,0230-022-04-07.txt
"A família real chegau ao Brasil, Em 1e8 e, ao se estabblicir, endenou a constru-","A família real chegou ao Brasil --xxx-- em 1508 --xxx-- e, ao se estabelecer, ordenou a constru-",0248-040-01-01.txt
"ção do Peatro Keal, para que o arte Nesse apreciada como ocorria na cusopa. Entretan","ção do Teatro Real, para que a arte fosse apreciada, como ocorria na Europa. Entretan-",0248-040-01-02.txt
"to, os eventos só podram ser assistidos pelos mais ricos, restringendo a dissemi-","to, os eventos só podiam ser assistidos pelos mais ricos, restringindo a dissemi-",0248-040-01-03.txt
"nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda","nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda",0248-040-01-04.txt
"nãio é democratizado a todos os brasileiros, por conta de das míádicos principais: a con-","não é democratizado a todos os brasileiros, por conta de dois motivos principais: a con-",0248-040-01-05.txt
centração das salas de reprodução dos filmes nos centros de maior renda e a levada capi-,centração das salas de reprodução dos filmes nos centros de maior renda e a elevada capi-,0248-040-01-06.txt
talização dos ingressos e dos alimentos consumidos nas sesões.,talização dos ingressos e dos alimentos consumidos nas sessões.,0248-040-01-07.txt
"Em primeira análise, confome o site Ge, no processo de formação das cidades, os cine-","Em primeira análise, conforme o site G1, no processo de formação das cidades, os cine-",0248-040-02-01.txt
"mas se ficaram nos centros de consumo, para a obtenção de mavor lucro. Nesse viés,","mas se fixaram nos centros de consumo, para a obtenção de maior lucro. Nesse viés,",0248-040-02-02.txt
"a periferia erbrana e o interior do país ficanam distamtes das salas, o que faz da -x--","a periferia urbana e o interior do país ficaram distantes das salas, o que faz da --xxx--",0248-040-02-03.txt
bareia geográfica sum impase para a democratização desse espetaculo. Isso porque,barreira geográfica um impasse para a democratização desse espetáculo. Isso porque,0248-040-02-04.txt
"para assister com #-ormo- inio filme são necessários gastos com o deslocamento e, por-","para assistir ##a um## --um filme-- único filme são necessários gastos com o deslocamento e, por",0248-040-02-05.txt
"vezes, várias horas dentro da conduição, o que desartícula o processo. Assim, constata-se","vezes, várias horas dentro da condução, o que desarticula o processo. Assim, constata-se",0248-040-02-06.txt
"que deve ocorrer a descentralização dos locais de exibição, para a população à margam","que deve ocorrer a descentralização dos locais de exibição, para a população à margem",0248-040-02-07.txt
da sociedade tranbem poder usufruis dessa arte.,da sociedade também poder usufruir dessa arte.,0248-040-02-08.txt
"Em segunda ansálise, os altos preços dos ingressos e da comida ingerida desorate","Em segunda análise, os altos preços dos ingressos e da comida ingerida durante",0248-040-03-01.txt
a reprodução do filme restringem o acesso das pessoas de mais baiso rendi Dr,a reprodução do filme restringem o acesso das pessoas de mais baixa renda ##às salas##. Por es-,0248-040-03-02.txt
"se notivo, o cinema precisa diminur os --sxo-- cutor --x- pepeseo,vsto que essa","se motivo, o cinema precisa diminuir os --preços-- custos --xxx-- por sessão, visto que essa",0248-040-03-03.txt
