prediction,ground_truth,filename
"Na nolaterra, o desenvolvimento da inalustra cinema to-","Na Inglaterra, o desenvolvimento da indústria cinemato-",0230-022-01-01.txt
"grófica teve, o objetivo de aglutinar a nação e integrar aso",gráfica teve o objetivo de aglutinar a nação e integrar os --é--,0230-022-01-02.txt
"A versos setoressociais, estecialmente cirante artresulo--","diversos setores sociais, especialmente durante crises. No --en--",0230-022-01-03.txt
"entanto, no Brasil, se mantere como umespaço eliizo do","entanto, no Brasil, se manteve como um espaço elitizado",0230-022-01-04.txt
"o ue não insere as atupas mais -odx-- popleres e marginais,",que não insere os grupos mais --pode-- pobres e marginais,0230-022-01-05.txt
ba cinâmica cultuoral moderna. Nesse sentidoetinader-,na dinâmica cultural moderna. Nesse sentido é indis-,0230-022-01-06.txt
censável a demovra saçáo-es espaça-- o cinema,pensável a democratização --desse espaço-- do cinema,0230-022-01-07.txt
sara integrar as populagõenalizadas vo processo polílico,para integrar as populações alijadas no processo político,0230-022-01-08.txt
e social arasfeito.,e social brasileiro.,0230-022-01-09.txt
"De acordo com o filasão, o alemão Kant, o acesso à in-","De acordo com o filosófo alemão Kant, o acesso à in-",0230-022-02-01.txt
"formação, e ao conhecimento e essencial para a eman-",formação e ao conhecimento é essencial para a eman-,0230-022-02-02.txt
"cipação do inpivíduo. Nessa persgeativa, não incor-","cipação do indivíduo. Nessa perspectiva, não incor-",0230-022-02-03.txt
coras um público aarangente às salas de dinema é evr-,porar um público abrangente às salas de cinema é evi-,0230-022-02-04.txt
tar q ue a população brasilera se torne mais crítica e,tar que a população brasileira se torne mais crítica e,0230-022-02-05.txt
"consciente de seus papçis sociais. Assim, restringir es-","consciente de seus papeís sociais. Assim, restringir es-",0230-022-02-06.txt
"ses espaços aos, atandes centros urbanos é torntar --e--",ses espaços aos grandes centros urbanos é tornar --a de--,0230-022-02-07.txt
"-- rast-- a alílica, e as decisões menos democráicas",--o Brasil-- a política e as decisões menos democráticas.,0230-022-02-08.txt
"Além disso, a democratização do acesso poole estime-","Além disso, a democratização do acesso pode estimu-",0230-022-03-01.txt
"lar mudandas ras proprids p ropuções, que hoje re-","lar mudanças nas próprias produções, que hoje re-",0230-022-03-02.txt
o leem somente o panto de vista elitista e hegemórico.,fletem somente o ponto de vista elitista e hegemônico.,0230-022-03-03.txt
"Assim, como ocorreu com o cinema Novo tue tinha","Assim, como ocorreu com o ""Cinema Novo"" que tinha",0230-022-03-04.txt
"e elmes voltados para os aspecos sociais, a democrati-","filmes voltados para os aspectos sociais, a democrati-",0230-022-03-05.txt
"zação podde a maduracer a indúscria,",zação pode amadurecer a indústria.,0230-022-03-06.txt
"Dessa forma, ##as##---- um cinema democrático, esta-","Dessa forma, ##--um--## --o cinema-- um cinema democrático esta-",0230-022-04-01.txt
"aflece diversos artanços sociais. Com isso, e dever do Esta-","belece diversos avanços sociais. Com isso, é dever do Esta-",0230-022-04-02.txt
do incentivas salas cinema ogrógicas para das grandes com-,do incentivar salas cinematográficas fora dos grandes cen-,0230-022-04-03.txt
"trar o os meio do Ministério da Cultura, o ve sulazidiara","tros por meio do Ministério da Cultura, que subsidiará",0230-022-04-04.txt
"esses espapos, aara permiltis--sa-- o acesso igualitária às","esses espaços, para permitir --um-- o acesso igualitário às",0230-022-04-05.txt
a roduções e permilira ue essa cono putálico abere as --px-,produções e permitir que esse novo público altere as --so--,0230-022-04-06.txt
cessolelivas e temas do cinema lacional e mundial.,perspectivas e temas do cinema nacional e mundial.,0230-022-04-07.txt
"A família real chegor ao Brasil, em 198-x, se estabelecer, ordenou a constru-","A família real chegou ao Brasil --xxx-- em 1508 --xxx-- e, ao se estabelecer, ordenou a constru-",0248-040-01-01.txt
"ção do Featro Ral, para que a arte fosse apreciada, como ocorria na Eusopa. Entretan-","ção do Teatro Real, para que a arte fosse apreciada, como ocorria na Europa. Entretan-",0248-040-01-02.txt
"to, os eventos só podram ser assistidos pelos mais ricos, restringendo a disemi-","to, os eventos só podiam ser assistidos pelos mais ricos, restringindo a dissemi-",0248-040-01-03.txt
"nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda","nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda",0248-040-01-04.txt
"não é democratizado a todos os brasileiros, por conta de dais mólivos principais: a con-","não é democratizado a todos os brasileiros, por conta de dois motivos principais: a con-",0248-040-01-05.txt
centração das salas de reprodução dos filmes nos centros de maior renda e a elevada capi-,centração das salas de reprodução dos filmes nos centros de maior renda e a elevada capi-,0248-040-01-06.txt
talização dos ingressos e dos alimentos consumidos nas sessões.,talização dos ingressos e dos alimentos consumidos nas sessões.,0248-040-01-07.txt
"Em primeira análise, conforme o site aI, no processo de formação das cidades, os cine-","Em primeira análise, conforme o site G1, no processo de formação das cidades, os cine-",0248-040-02-01.txt
"mas se ficaram nos centros de consumo, para a obtenção de maior lucro. Nesse viés,","mas se fixaram nos centros de consumo, para a obtenção de maior lucro. Nesse viés,",0248-040-02-02.txt
"a periferia urbrana e o interior do país ficaram distanter das salas, o que faz da --xx--","a periferia urbana e o interior do país ficaram distantes das salas, o que faz da --xxx--",0248-040-02-03.txt
asseia geográfica um impasse para a democratização desse espetáculo. Isso porque,barreira geográfica um impasse para a democratização desse espetáculo. Isso porque,0248-040-02-04.txt
"para assistir ##emsa## - -emen- co filie não ecessários gatos com o deslocamento e, por","para assistir ##a um## --um filme-- único filme são necessários gastos com o deslocamento e, por",0248-040-02-05.txt
"vezes, várias poras dentro da condução, o que desartrcula o processo. Assim, constata-se","vezes, várias horas dentro da condução, o que desarticula o processo. Assim, constata-se",0248-040-02-06.txt
"que deve ocosrer a descentralização dos locais de exibição, para a população à margem","que deve ocorrer a descentralização dos locais de exibição, para a população à margem",0248-040-02-07.txt
da sociedade também poder usufruir dessa arte.,da sociedade também poder usufruir dessa arte.,0248-040-02-08.txt
"Em segunda análise, os altos preços dos ingressos e da comida ingerida duante","Em segunda análise, os altos preços dos ingressos e da comida ingerida durante",0248-040-03-01.txt
a reprodução do filme restringem o acesso das pessoas de mais baixa renda. Por e#--,a reprodução do filme restringem o acesso das pessoas de mais baixa renda ##às salas##. Por es-,0248-040-03-02.txt
"se motivo, o cinema precisa diminuir os --prços-- custos --x- por sesso, visto que essa","se motivo, o cinema precisa diminuir os --preços-- custos --xxx-- por sessão, visto que essa",0248-040-03-03.txt
"redução será compensada pelo maior número de tlespectadores. Ademais, segundo","redução será compensada pelo maior número de telespectadores. Ademais, segundo",0248-040-03-04.txt
"Aristóteles, os seres humanos só conseguem depreender aquilo que vivenciam de","Aristóteles, os seres humanos só conseguem depreender aquilo que vivenciam de",0248-040-03-05.txt
"forma concreta. Assim, reduzir a capitalização por espetáculo exibido é essencial","forma concreta Assim, reduzir a capitalização por espetáculo exibido é essencial,",0248-040-03-06.txt
para que a democratização --dese espostacoido-- se efetive.,para que a democratização --desse espetáculo-- se efetive.,0248-040-03-07.txt
Em suma o acesso ao cinema por todos os brasileiros precisa ser concretizado. Pri-,"Em suma, ##o## acesso ao cinema por todos os brasileiros precisa ser concretizado. Pri-",0248-040-04-01.txt
"meiramente, o Governo Fderal deve construir novas salas de reprodução de filmes","meiramente, o Governo Federal deve construir novas salas de reprodução de filmes",0248-040-04-02.txt
"no interiordos estados, por intermédio de parceria com os centros de cultura, para que","no interior dos estados, por intermédio de parceria com os centros de cultura, para que",0248-040-04-03.txt
"##o# --x-x- sas eam em escobidos e, com isso, a população de renda mais baixa não --xxx--","##os## --xxx-- locais sejam bem escolhidos e, com isso, a população de renda mais baixa não --xxx--",0248-040-04-04.txt
"precise de grandes deslocamentos para assistir a um filme. Além disso, os próprios cine-","precise de grandes deslocamentos para assistir a um filme. Além disso, os próprios cine-",0248-040-04-05.txt
"mas devem reduzir os custos ##pa## --x--as sio, pormio de promoções, que atraiam um","mas devem reduzir os custos ##de## --por-- cada sessão, por meio de promoções, que atraiam um",0248-040-04-06.txt
"maior número de pessoas, --xox-- com o intuito de que a diminuição dos preços seja compen-","maior número de pessoas, --xxx-- com o intuito de que a diminuição dos preços seja compen-",0248-040-04-07.txt
"vida e, assim --xx-- acesibilidade será democratizado --mreme-- todo o Brasil.","sada e, assim, --xxx-- a acessibilidade será democratizada ##em## --a todos os-- todo o Brasil.",0248-040-04-08.txt
"A AND) é uma doença sexualmente transmisial, causado pelo nãs I. Cluando a epidemcia","A AIDS é uma doença sexualmente transmissível, causada pelo vírus HIV. Quando a epidemia",0522-022-01-01.txt
começos muitos mavram em decorrima dela e essa doença persito do os dias atuais. No Brasil pe-,começou muitas morreram em decorrêcia dela e essa doença persiste até os dias atuais. No Brasil --ope--,0522-022-01-02.txt
