prediction,ground_truth,filename
"Na nefateria, o desenvolvimento da indústria cinemato-","Na Inglaterra, o desenvolvimento da indústria cinemato-",0230-022-01-01.txt
"gráfica teve, o objetivo de agletimar a ração e integrar oso",gráfica teve o objetivo de aglutinar a nação e integrar os --é--,0230-022-01-02.txt
"diversos setores sociais, estecialmente durante estrasullo en-","diversos setores sociais, especialmente durante crises. No --en--",0230-022-01-03.txt
"entanto, no Brasil, se manteve como umespaço dirigado","entanto, no Brasil, se manteve como um espaço elitizado",0230-022-01-04.txt
o que são insore os afrupos mais --podo-- poferos e marginais,que não insere os grupos mais --pode-- pobres e marginais,0230-022-01-05.txt
"ia cinâmica cultural moderna. Nesse sentido, indes-",na dinâmica cultural moderna. Nesse sentido é indis-,0230-022-01-06.txt
pensável a democratização --dosse espaço-- do cinema,pensável a democratização --desse espaço-- do cinema,0230-022-01-07.txt
para integrar as populações alijadas no processo político,para integrar as populações alijadas no processo político,0230-022-01-08.txt
e social brasifeiro.,e social brasileiro.,0230-022-01-09.txt
"De acordo com o filósofo alemão Kant, o acesso à in-","De acordo com o filosófo alemão Kant, o acesso à in-",0230-022-02-01.txt
"formação, e ao conhegimento é essencial para a eman-",formação e ao conhecimento é essencial para a eman-,0230-022-02-02.txt
"cipação do indivíduo. Nessa perspectiva, não nor-","cipação do indivíduo. Nessa perspectiva, não incor-",0230-022-02-03.txt
cionar um público alerangante às salas de cinema é er-,porar um público abrangente às salas de cinema é evi-,0230-022-02-04.txt
tar o que a população brasileira se torne mais crítica e,tar que a população brasileira se torne mais crítica e,0230-022-02-05.txt
"conficiente de seus papazes sociais. Assim, restringir os","consciente de seus papeís sociais. Assim, restringir es-",0230-022-02-06.txt
"ses escaços aos crandes centros urbanos, é torntar --ax--",ses espaços aos grandes centros urbanos é tornar --a de--,0230-022-02-07.txt
"--o brasil a política, e as decisões menos democráticas.",--o Brasil-- a política e as decisões menos democráticas.,0230-022-02-08.txt
"Além disso, a democratização do acesso ole estime","Além disso, a democratização do acesso pode estimu-",0230-022-03-01.txt
"las mudandas nas própricas profucões, que haje re-","lar mudanças nas próprias produções, que hoje re-",0230-022-03-02.txt
leten somente o ponto de vista elitafar hegemórico.,fletem somente o ponto de vista elitista e hegemônico.,0230-022-03-03.txt
"Assim, como acorreu com o Ccinema Movoque tinha","Assim, como ocorreu com o ""Cinema Novo"" que tinha",0230-022-03-04.txt
"limes voltados para os aspectos sociais, a democrati-","filmes voltados para os aspectos sociais, a democrati-",0230-022-03-05.txt
"zação pade amalurcar a indústria,",zação pode amadurecer a indústria.,0230-022-03-06.txt
"Dessa forma, ##o## --x-- ma um cinema democrático, esta-","Dessa forma, ##--um--## --o cinema-- um cinema democrático esta-",0230-022-04-01.txt
"aploca diveiros artanços sociais. Com isso, creleves do Esta-","belece diversos avanços sociais. Com isso, é dever do Esta-",0230-022-04-02.txt
"o incentivar salas cinematográficos, pora dos granedes con-",do incentivar salas cinematográficas fora dos grandes cen-,0230-022-04-03.txt
"tror por meio do Ministério da Cultura, que relagidiará","tros por meio do Ministério da Cultura, que subsidiará",0230-022-04-04.txt
"esses espaços, para pormitir --um o aclso igualitário às","esses espaços, para permitir --um-- o acesso igualitário às",0230-022-04-05.txt
a reoluções epermitir que esse cono pitálico altere as -x--,produções e permitir que esse novo público altere as --so--,0230-022-04-06.txt
assolalivar e temal do cinema Nacional e mundial.,perspectivas e temas do cinema nacional e mundial.,0230-022-04-07.txt
"A família real chegou ao Brasil, em 198, e, ao se estabelecer, ondenou a constru-","A família real chegou ao Brasil --xxx-- em 1508 --xxx-- e, ao se estabelecer, ordenou a constru-",0248-040-01-01.txt
"ção do teatro Real, para que a arte fosse apreciada, como ocorria na Europa. Entretan-","ção do Teatro Real, para que a arte fosse apreciada, como ocorria na Europa. Entretan-",0248-040-01-02.txt
"to, os eventos só poderam ser assistidos pelos mais ricos, restringindo a dissemi-","to, os eventos só podiam ser assistidos pelos mais ricos, restringindo a dissemi-",0248-040-01-03.txt
"nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda","nação das obras a toda a população. De maneira análoga, o acesso ao cinema ainda",0248-040-01-04.txt
"não é democratizado a todos os brasileiros, por conta de dos motivos principais: a con-","não é democratizado a todos os brasileiros, por conta de dois motivos principais: a con-",0248-040-01-05.txt
centração das salas de reprodução dos filmes nos centros de maior renda e a elevada capi-,centração das salas de reprodução dos filmes nos centros de maior renda e a elevada capi-,0248-040-01-06.txt
talização dos ingressos e dos alimentos consumidos nas sessões.,talização dos ingressos e dos alimentos consumidos nas sessões.,0248-040-01-07.txt
"Em primeira análise, conforme o site 2, no processo de formação das cidades, os cine-","Em primeira análise, conforme o site G1, no processo de formação das cidades, os cine-",0248-040-02-01.txt
"mas se ficaram nos centros de consumo, para a obvenção de maior lucro. Nesse viés,","mas se fixaram nos centros de consumo, para a obtenção de maior lucro. Nesse viés,",0248-040-02-02.txt
"a periferia urbana e o interior do país ficaram distantes das salas, o que faz da --xxxx--","a periferia urbana e o interior do país ficaram distantes das salas, o que faz da --xxx--",0248-040-02-03.txt
basseira geográfica um impasse para a democratização desse espetáculo. Isso porque,barreira geográfica um impasse para a democratização desse espetáculo. Isso porque,0248-040-02-04.txt
"para assistir ##esea## --esem-- iminl lem são necessários gostas com o deslocamento e, por","para assistir ##a um## --um filme-- único filme são necessários gastos com o deslocamento e, por",0248-040-02-05.txt
"vezes, várias fosar dentro da condução, o que decarticula o processo. Assim, constate-se","vezes, várias horas dentro da condução, o que desarticula o processo. Assim, constata-se",0248-040-02-06.txt
"que deve ocorrer a descentralização dos locais de exibição, para a população à margem","que deve ocorrer a descentralização dos locais de exibição, para a população à margem",0248-040-02-07.txt
da sociedade também poder usufruir dessa arte.,da sociedade também poder usufruir dessa arte.,0248-040-02-08.txt
"Em segunda análise, os altos preços dos ingressos e da comida ingerida dusgante-","Em segunda análise, os altos preços dos ingressos e da comida ingerida durante",0248-040-03-01.txt
a reprodução do filme restringem o acesso das pessoas de mais baixa renda. ##a,a reprodução do filme restringem o acesso das pessoas de mais baixa renda ##às salas##. Por es-,0248-040-03-02.txt
"se motivo, o cinema precisa diminuir os --prgos-- custos --do-- por sesão, visto que essa","se motivo, o cinema precisa diminuir os --preços-- custos --xxx-- por sessão, visto que essa",0248-040-03-03.txt
"redução será compensada pelo maior número de telespectadores. Ademais, segundo","redução será compensada pelo maior número de telespectadores. Ademais, segundo",0248-040-03-04.txt
"Aristóteles, os seres humanos só conseguem deprender aquilo que vivenciam de","Aristóteles, os seres humanos só conseguem depreender aquilo que vivenciam de",0248-040-03-05.txt
"forma concreta. Assim, reduzir a capitalização por espetáculo excibido é essencia","forma concreta Assim, reduzir a capitalização por espetáculo exibido é essencial,",0248-040-03-06.txt
para que a democratização --desse espetáculo- se efetive.,para que a democratização --desse espetáculo-- se efetive.,0248-040-03-07.txt
Em suma pracesso ao cinema por todos os brasileiros precisa ser concretizado. Pr-,"Em suma, ##o## acesso ao cinema por todos os brasileiros precisa ser concretizado. Pri-",0248-040-04-01.txt
