prediction,ground_truth,filename
He rose from his breafart-nook bench,He rose from his breakfast-nook bench,m01-049-00
"and cone into the Rivingicon , wihere","and came into the livingroom , where",m01-049-01
Heatler and Heve food aglan at,Heather and Steve stood aghast at,m01-049-02
"lis entrancl . He cone , athon falling","his entrance . He came , almost falling",m01-049-03
"forwvard in On ungainly sluftle , neck","forward in an ungainly shuffle , neck",m01-049-04
"Aicitl ont , arus canglny loosely .","thrust out , arms dangling loosely .",m01-049-05
"Then , abiuptly , be drev fimself up","Then , abruptly , he drew himself up",m01-049-06
And wolked on e ney lips of,and walked on the very tips of,m01-049-07
fiv loes . He stretcled fis cuut,his toes . He stretched his arms,m01-049-08
"oner his lead and youned agoped ,","over his head and yawned agape ,",m01-049-09
diawing- in gread huealls Alar,drawing-in great breaths that,m01-049-10
become dcos rias ad colh .,became great sighs of ecstacy .,m01-049-11
"They hove come ! "" he said reverently , arisping his",""" They have come ! "" he said reverently , gripping his",m01-060-00
hands together between his knees and leaning,hands together between his knees and leaning,m01-060-01
"forword . '"" B n't it a glosiouns thing ! I Ong awarited","forward . "" Isn't it a glorious thing ! Long awaited",m01-060-02
"transcendent event , the exalted desire of all","transcendent event , the exalted desire of all",m01-060-03
monkind through all eges! The Kingdom of the,mankind through all ages ! The Kingdom of the,m01-060-04
"Mind is at hand ! "" He turned beaming eyes","Mind is at hand ! "" He turned beaming eyes",m01-060-05
upward and shook his head slowly from,upward and shook his head slowly from,m01-060-06
A superfluas precantion for there was no other car,A superfluous precaution for there was no other car,m01-079-00
cbroad jand no pedestrian to cron his path wor to mait,abroad ; and no pedestrian to cross his path nor to wait,m01-079-01
at an intersection for the light to change . Aut his,at an intersection for the light to change . At his,m01-079-02
apartiment he paroged his car and then stood,apartment he garaged his car and then stood,m01-079-03
listening in the niglt . Listening in vain . For the,listening in the night . Listening in vain . For the,m01-079-04
"carthsted lost its lfe-tenigos , an the beart","earth had lost its life-tempo , as the heart",m01-079-05
"Deadly stilless , deadly portent !","Deadly stillness , deadly portent !",m01-084-00
Steve awakened early and switched on,Steve awakened early and switched on,m01-084-01
"the raclio , which he kept tuned to Cb0 .","the radio , which he kept tuned to CBO.",m01-084-02
The set lighted - up but gpve only a low,The set lighted-up but gave only a low,m01-084-03
binzing sound . He had just finished,buzzing sound . He had just finished,m01-084-04
shaving when it came ony with a flat,"shaving when it came on , with a flat",m01-084-05
"vice repeating : "" This is Rbe colling","voice repeating : "" This is BBC calling",m01-084-06
" . , Hhis is 3bC coling . . . .",". . . this is BBC calling . . . """,m01-084-07
"Yfr whut seuned an nuchne peried of repetition , the vice","After what seemed an undue period of repetition , the voice",m01-090-00
went on to descrite the lanhng of the Pheten aolony,went on to describe the landing of the Thetan colony,m01-090-01
"in Jusser , in all its obreme details . Then the radic","in Sussex , in all its obscene details . Then the radio",m01-090-02
"went dead again , and thre had no stomacs for","went dead again , and Steve had no stomach for",m01-090-03
"treatfaust . It was a teantiful day , as firsto-of June","breakfast . It was a beautiful day , as firsts-of-June",m01-090-04
should be . There got onut the car and traused the,should be . Steve got out the car and traversed the,m01-090-05
"same uuply streets as he had the night before ,","same empty streets as he had the night before ,",m01-090-06
to thup ae appointment with feather .,to keep an appointment with Heather .,m01-090-07
Coming around the great mass of the Chateau,Coming around the great mass of the Chateau,m01-095-00
"hamier , he bahket to a screeching stop . A","Laurier , he braked to a screeching stop . A",m01-095-01
flying sancer was lilling and dipping over,flying saucer was tilting and dipping over,m01-095-02
the War Memornal . There was a deep,the War Memorial . There was a deep,m01-095-03
"whining sound , and a high-pitched hirsing","whirring sound , and a high-pitched hissing",m01-095-04
overtone that sang in his ears with an,overtone that sang in his ears with an,m01-095-05
almost painful sharpners . He seversed and,almost painful sharpness . He reversed and,m01-095-06
huined back on Hc Kengic Avernme .,turned back on McKenzie Avenue .,m01-095-07
""" The Petans , "" he said , "" are presumably here to",""" The Thetans , "" he said , "" are presumably here to",m01-104-00
"take charge , as it were , of the minds of the","take charge , as it were , of the minds of the",m01-104-01
peoole-who are probably falling all over them-,people - who are probably falling all over them-,m01-104-02
selves in then geal to get their ondens and to caury,selves in their zeal to get their orders and to carry,m01-104-03
"them out , fust what these onders will be , we don'","them out . Just what these orders will be , we don't",m01-104-04
"tnow . Now , becauce of prion huypnosts we lave es-","know . Now , because of prior hypnosis we have es-",m01-104-05
coped Phelan subjugation . This time . But we no,caped Thetan subjugation . This time . But we no,m01-104-06
langer have any immunity .,longer have any immunity .,m01-104-07
Them can be little doubl that if the,There can be little doubt that if the,m01-110-00
Nhetons discover ow mentol independerce,Thetans discover our mental independence,m01-110-01
they vilprobably give us their hypuotic,they will promptly give us their hypnotic,m01-110-02
treatement . If we cass avoid wn cle,treatment . If we can avoid undue,m01-110-03
"prominence , it may be that we can","prominence , it may be that we can",m01-110-04
more about poitty fecbe withont,move about pretty freely without,m01-110-05
