prediction,ground_truth,filename
He lose fron his breakfait-nook bech,He rose from his breakfast-nook bench,m01-049-00
"and came into te livingioon , wlese","and came into the livingroom , where",m01-049-01
Heatler and Heve slood aglan at,Heather and Steve stood aghast at,m01-049-02
"lis entrance . He conl , atmon faling","his entrance . He came , almost falling",m01-049-03
"forvard in an ungainly sluttle , neck","forward in an ungainly shuffle , neck",m01-049-04
"1inn od , ams dangling loosely .","thrust out , arms dangling loosely .",m01-049-05
"Then , abiuplly , le diew licself up","Then , abruptly , he drew himself up",m01-049-06
and valked on le wery lips of,and walked on the very tips of,m01-049-07
lis 1oes . He shetcled fis oucs,his toes . He stretched his arms,m01-049-08
"ouer his lead and youned agoped ,","over his head and yawned agape ,",m01-049-09
drawing-in gred bealls 1lot,drawing-in great breaths that,m01-049-10
became aoal wols at ecsar,became great sighs of ecstacy .,m01-049-11
"' The y have come ! "" he said roverentl y , gripping his",""" They have come ! "" he said reverently , gripping his",m01-060-00
hands toyether between his knees and leaning,hands together between his knees and leaning,m01-060-01
forword . ' Sn't it a glosious thing ! I ong awaited,"forward . "" Isn't it a glorious thing ! Long awaited",m01-060-02
transcendent event  the exalted desire of all,"transcendent event , the exalted desire of all",m01-060-03
mankind through all ages ! The Kingdom of the,mankind through all ages ! The Kingdom of the,m01-060-04
"Mind is at hand ! "" He turned beaming eyes","Mind is at hand ! "" He turned beaming eyes",m01-060-05
upward and shook his head slowly from,upward and shook his head slowly from,m01-060-06
a superfluos precantion for there was no other car,A superfluous precaution for there was no other car,m01-079-00
obroad ; and no pedestrian to cross his path nor to wait,abroad ; and no pedestrian to cross his path nor to wait,m01-079-01
at an intersedia for the light to change . At his,at an intersection for the light to change . At his,m01-079-02
apartment he garaged his car and then stood,apartment he garaged his car and then stood,m01-079-03
listening in the night . Listening in vain . For the,listening in the night . Listening in vain . For the,m01-079-04
"earth had lost its life- tempo , as the heart","earth had lost its life-tempo , as the heart",m01-079-05
"Deadly stillness , deadly portent !","Deadly stillness , deadly portent !",m01-084-00
stere awakened early and switched on,Steve awakened early and switched on,m01-084-01
"the radio , which he kept twned to CB0 .","the radio , which he kept tuned to CBO.",m01-084-02
The set lighted-up but gave only a low,The set lighted-up but gave only a low,m01-084-03
burzing sound . He had just finished,buzzing sound . He had just finished,m01-084-04
"shaving when it came on , with a flat","shaving when it came on , with a flat",m01-084-05
"voice repeating : "" This is 3c calling","voice repeating : "" This is BBC calling",m01-084-06
"c caling. . . """,". . . this is BBC calling . . . """,m01-084-07
"iffwr whad reamed an unchre period of repetition , the voice","After what seemed an undue period of repetition , the voice",m01-090-00
