prediction,ground_truth,filename
Comme indiqué dans les conditions particulières de mon contrat d'assurance,Comme indiqué dans les conditions particulières de mon contrat d'assurance,eval2011-0_0
"habitation n° DPURT36, je souhaite vous faire pert de mon récent déctnaagement.","habitation n° DPUET36, je souhaite vous faire part de mon récent déménagement",eval2011-0_1
Je tiens à vous assurer de ma satisfaction quant à la qualité de,Je tiens à vous assurer de ma satisfaction quant à la qualité de,eval2011-0_10
"service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,","service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,",eval2011-0_11
d'accepter l'expression de mes salutations distinguées.,d'accepter l'expression de mes salutations distinguées.,eval2011-0_12
"de mon demicile du 3 Rue Ganbelle , 57000 E72, en date du 25 février","de mon domicile du 3 Rue Gambetta, 57000 METZ, en date du 28 février",eval2011-0_2
2007.,2007.,eval2011-0_3
Je souhaite donc que vous procédiez à la résiliation de mon contrat,Je souhaite donc que vous procédiez à la résiliation de mon contrat,eval2011-0_4
"d'assurance habitation concernant ce logement, comme stipulé dans les conditions","d'assurance habitation concernant ce logement, comme stipulé dans les conditions",eval2011-0_5
"genciales du contrat. Je vous prie, par ceilleurs, de me faire parvenir une","générales du contrat. Je vous prie, par ailleurs, de me faire parvenir une",eval2011-0_6
notification de résiliation dans les plus brefs delaic et de procéder au remboursement,notification de résiliation dans les plus brefs délais et de procéder au remboursement,eval2011-0_7
de la part de cotisation correspondant à la prériode pour laquelle je ne suis,de la part de cotisation correspondant à la période pour laquelle je me suis,eval2011-0_8
plus garant.,plus garant :,eval2011-0_9
"Nier, en eostant de chezg moi, j'ai malencontreusement marchisur le chien de ma","Hier, en sortant de chez moi, j'ai malencontreusement marché sur le chien de ma",eval2011-10_0
"voisire. Cetle-ci, tonant troucoup à son chien, a été partiulièorement effecté par l'accident","voisine. Celle-ci, tenant beaucoup à son chien, a été particulièrement affectée par l'accident",eval2011-10_1
et me demande un dédommagement de taille,et me demande un dédommagement de taille,eval2011-10_2
"Etant asuréchez vous depuis de réombreuses années, je sais que l'en peut compter","Etant assurée chez vous depuis de nombreuses années, je sais que l'on peut compter",eval2011-10_3
aus l'effercité de vos sources. J'auvais  basoin que vous me couvriez au titre de,sur l'efficacité de vos services. J' aurais ici besoin que vous me couvriez au titre de,eval2011-10_4
la responsabilité civile.,la responsabilité civile.,eval2011-10_5
"Dans l'attente de votre réponse,","Dans l'attente de votre réponse,",eval2011-10_6
Cordialement,Cordialement,eval2011-10_7
j'aimerais doubler mes prochaires commande de CD vierges de,J'aimerais doubler mes prochaines commandes de CD vierges de,eval2011-11_0
la part de votre aganisme.,la part de votre organisme.,eval2011-11_1
Je vous serais gré de me binin an courant de la posibile,Je vous serais gré de me tenir au courant de la possibilité,eval2011-11_2
de cette commande.,de cette commande.,eval2011-11_3
"Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,","Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,",eval2011-11_4
l'expression de mes sentiments respectueux.,l'expression de mes sentiments respectueux.,eval2011-11_5
Ayant passé commande de 10 CD,Ayant passé commande de 10 CD,eval2011-12_0
"vierges "" verbetimt sour votre site interner","vierges ""Verbatim"" sur votre site internet",eval2011-12_1
le 17 012007 et N'ayant tojonrs,le 13 01 2007 et n'ayant toujours,eval2011-12_2
pas de nouvelles de ma commande,pas de nouvelles de ma commande,eval2011-12_3
e voudrais modifier avynr l'expédition,Je voudrais modifier avant l'expédition,eval2011-12_4
le nombre de CJ commandés,le nombre de CD - commandés -,eval2011-12_5
au lieu de 10 CD,au lieu de 10 CD,eval2011-12_6
j'n dégire 20-CD,J'en désire 20 - CD,eval2011-12_7
Meerci ,Merci -,eval2011-12_8
Je me permet de vous écrire afin d'obtenir de la,Je me permet de vous écrire afin d'obtenir de la,eval2011-13_0
