prediction,ground_truth,filename
Comme indiqué dans les conditions particulières de mon contrat d'assurance,Comme indiqué dans les conditions particulières de mon contrat d'assurance,eval2011-0_0
"habitation n° DPUET36, je souhaite vous faire part de mon récent démenagement","habitation n° DPUET36, je souhaite vous faire part de mon récent déménagement",eval2011-0_1
Je tiens à vous assurer de ma satisfaction quant à la qualité de,Je tiens à vous assurer de ma satisfaction quant à la qualité de,eval2011-0_10
"service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,","service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,",eval2011-0_11
d'accepter l'expression de mes salutations distinguées.,d'accepter l'expression de mes salutations distinguées.,eval2011-0_12
"de mon domicile du 3 Rue Gambetta, 57000 ME17, en tate du 28 février","de mon domicile du 3 Rue Gambetta, 57000 METZ, en date du 28 février",eval2011-0_2
2007.,2007.,eval2011-0_3
Je souhaite donc que vous procédiez à la résiliation de mon contrat,Je souhaite donc que vous procédiez à la résiliation de mon contrat,eval2011-0_4
"d'assurance habitation concernant ce logement, comme stipulé dans les conditions","d'assurance habitation concernant ce logement, comme stipulé dans les conditions",eval2011-0_5
"gémérales du contrat. Je vous prie, par ailleurs, de me faire parvenir une","générales du contrat. Je vous prie, par ailleurs, de me faire parvenir une",eval2011-0_6
motification de résiliation dans les plus brefs délais et de procéder au remboursement,notification de résiliation dans les plus brefs délais et de procéder au remboursement,eval2011-0_7
de la part de cotisation correspondant à la période pour laquelle je ne suis,de la part de cotisation correspondant à la période pour laquelle je me suis,eval2011-0_8
plus garant,plus garant :,eval2011-0_9
"Mier, en sertant de chez moi, j'ai malencontreusement marchésur le chien de ma","Hier, en sortant de chez moi, j'ai malencontreusement marché sur le chien de ma",eval2011-10_0
"voisire. Celle-ci, tenant beaucoupài sonchien, a été porticulièrement affectée par l'accident","voisine. Celle-ci, tenant beaucoup à son chien, a été particulièrement affectée par l'accident",eval2011-10_1
et me demande un dédommagement de taille,et me demande un dédommagement de taille,eval2011-10_2
"Etant assuréechez vour depuis de nombreuses années, je saisque l'on peut compter","Etant assurée chez vous depuis de nombreuses années, je sais que l'on peut compter",eval2011-10_3
sur l'effiacité de vos sorvices. J'aurais i ci bessin que vous me couvriez au totre de,sur l'efficacité de vos services. J' aurais ici besoin que vous me couvriez au titre de,eval2011-10_4
