prediction,ground_truth,filename
Comme indiqué dans les conditions particulières de mon contrat d'assurance,Comme indiqué dans les conditions particulières de mon contrat d'assurance,eval2011-0_0
"habitation n° DPVET36, je souhaite vous faire part de mon récent déménagement","habitation n° DPUET36, je souhaite vous faire part de mon récent déménagement",eval2011-0_1
Je tiens à vous assurer de ma satisfaction quant à la qualité de,Je tiens à vous assurer de ma satisfaction quant à la qualité de,eval2011-0_10
"service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,","service dont j'ai bénéficié jusqu'ici. Je vous prie, Madame, Monsieur,",eval2011-0_11
d'accepter l'expression de mes salutations distinguées.,d'accepter l'expression de mes salutations distinguées.,eval2011-0_12
"de mon domicile du 3 Rue Gambette, 57000 METZ, en date du 28 février","de mon domicile du 3 Rue Gambetta, 57000 METZ, en date du 28 février",eval2011-0_2
2007.,2007.,eval2011-0_3
Je souhaite donc que vous procédiez à la résiliation de mon contrat,Je souhaite donc que vous procédiez à la résiliation de mon contrat,eval2011-0_4
"d'assurance habitation concernant ce logement, comme stipulé dans les conditions","d'assurance habitation concernant ce logement, comme stipulé dans les conditions",eval2011-0_5
"générales du contrat. Je vous prie, par ailleurs, de me faire parvenir une","générales du contrat. Je vous prie, par ailleurs, de me faire parvenir une",eval2011-0_6
notification de résiliation dans les plus brefs délais et de procéder au remboursement,notification de résiliation dans les plus brefs délais et de procéder au remboursement,eval2011-0_7
de la part de cotisation correspondant à la période pour laquelle je ne suis,de la part de cotisation correspondant à la période pour laquelle je me suis,eval2011-0_8
plus garanti.,plus garant :,eval2011-0_9
"Mier, en sestant de chez moi, j'ai malencontreusement marchésur le chien de ma","Hier, en sortant de chez moi, j'ai malencontreusement marché sur le chien de ma",eval2011-10_0
"voisire. Celle-ci, tenant beaucoup à son chien, a été particulièrement effectée par l'accident","voisine. Celle-ci, tenant beaucoup à son chien, a été particulièrement affectée par l'accident",eval2011-10_1
et me demande un dédommagement de taille,et me demande un dédommagement de taille,eval2011-10_2
"Etant assuréchez vous depuis de nombreuses années, je sais que l'en paut compter","Etant assurée chez vous depuis de nombreuses années, je sais que l'on peut compter",eval2011-10_3
sur l'effiracité de vos services. J'aurais ici besoin que vous me courriez au titre de,sur l'efficacité de vos services. J' aurais ici besoin que vous me couvriez au titre de,eval2011-10_4
la responsabilité civile.,la responsabilité civile.,eval2011-10_5
"Dans l'attente de votre réponse,","Dans l'attente de votre réponse,",eval2011-10_6
Cordialement,Cordialement,eval2011-10_7
J'aimerais doubler mes prochaines commandes de CD vierges de,J'aimerais doubler mes prochaines commandes de CD vierges de,eval2011-11_0
la part de votre oganisme.,la part de votre organisme.,eval2011-11_1
Je vous serais gré de me tenir au courant de la possibililé,Je vous serais gré de me tenir au courant de la possibilité,eval2011-11_2
de cette commande.,de cette commande.,eval2011-11_3
"Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,","Vous remerciant d'avance, veuillez agréer, Madame, Monsieur,",eval2011-11_4
l'expression de mes sentiments respectueux.,l'expression de mes sentiments respectueux.,eval2011-11_5
Ayant passé commande de 10 CD,Ayant passé commande de 10 CD,eval2011-12_0
"vierges ""Verbetion"" sur votre site internet","vierges ""Verbatim"" sur votre site internet",eval2011-12_1
le 13 01 2007 et n'ayant toujours,le 13 01 2007 et n'ayant toujours,eval2011-12_2
pas de nouvelles de ma commande,pas de nouvelles de ma commande,eval2011-12_3
Je voudrais modifier avant l'expédition,Je voudrais modifier avant l'expédition,eval2011-12_4
le nombre de CD commandés.,le nombre de CD - commandés -,eval2011-12_5
au lieu de 10 CD,au lieu de 10 CD,eval2011-12_6
j'en dégine 20-CD,J'en désire 20 - CD,eval2011-12_7
Merci.,Merci -,eval2011-12_8
Je me permet de vous écrire afin d'obtenir de la,Je me permet de vous écrire afin d'obtenir de la,eval2011-13_0
documentation concernant vos contrats d'assurance vie.,documentation concernant vos contrats d'assurance vie.,eval2011-13_1
"En effet, mes priorités ent changé depuis la naissance","En effet, mes priorités ont changé depuis la naissance",eval2011-13_2
de mon enfant,de mon enfant.,eval2011-13_3
"Dans l'attente de votre réponse,","Dans l'attente de votre réponse,",eval2011-13_4
"Veuillez agréer, Madame, Monsieur, l'expression de","Veuillez agréer, Madame, Monsieur, l'expression de",eval2011-13_5
mes sentiments distingués.,mes sentiments distingués.,eval2011-13_6
Je vous remercie tout d'abored pour l'efficacité mise en oeuvre par,Je vous remercie tout d'abord pour l'efficacité mise en oeuvre par,eval2011-14_0
"mon conseiller, M. Samida, au moment de l'ouverture de mon assurance","mon conseiller, M. Junida, au moment de l'ouverture de mon assurance",eval2011-14_1
habitation il y a 8 mois maintenant.,habitation il y a 8 mois maintenant.,eval2011-14_2
"Néommais, étant donnée ma nouvelle affectation professionnelle en région","Néanmoins, étant donnée ma nouvelle affectation professionnelle en région",eval2011-14_3
"Pravince- Alyes-Côte d'Ajur, je dois naturellement envisager un déménagement","Province-Alpes-Côte-d'Azur, je dois naturellement envisager un déménagement",eval2011-14_4
dans les plus brefs délais.,dans les plus brefs délais.,eval2011-14_5
C'est pourquoi je porte à votre connaissance ma volonté de résilier mon,C'est pourquoi je porte à votre connaissance ma volonté de résilier mon,eval2011-14_6
compte au sein de votre société d'assurance.,compte au sein de votre société d'assurance.,eval2011-14_7
"Dans l'attente d'un accusé de réception et de l'application de mon mensage,","Dans l'attente d'un accusé de réception et de l'application de mon message,",eval2011-14_8
"je vous prie d'agréer Madame, Monsieur, l'expression de mes sincères salutations.","je vous prie d'agréer Madame, Monsieur, l'expression de mes sincères salutations.",eval2011-14_9
Je vous prie de bien vouloir prendre acte de ma volonté de résilier à rception de la présènte,Je vous prie de bien vouloir prendre acte de ma volonté de résilier à reception de la présente,eval2011-15_0
le contrat d'assurance habitation soucrit pour ma maison pour cause de vente de ce bien,le contrat d'assurance habitation souscrit pour ma maison pour cause de vente de ce bien,eval2011-15_1
immobilier.,immobilier.,eval2011-15_2
"Je vous serais reconnaissant de me faire parvenir, le plus rapidement possible, une rodification","Je vous serais reconnaissant de me faire parvenir, le plus rapidement possible, une notification",eval2011-15_3
de résiliation.,de résiliation.,eval2011-15_4
"Dans cette attente, je vous prie d'agréer, Madame, Monsieur, l'assurance de mes sentiments","Dans cette attente, je vous prie d'agréer, Madame, Monsieur, l'assurance de mes sentiments",eval2011-15_5
distingués.,distingués.,eval2011-15_6
Cordialement,Cordialement,eval2011-15_7
Je soussignée MATEI Adèle vous recontacte suite à un courrier,Je soussignée MATEI Adèle vous recontacte suite à un courrier,eval2011-16_0
resté sans réponse.,resté sans réponse.,eval2011-16_1
Je vous ai en effet contacté le mois dernier pour vous demander,Je vous ai en effet contacté le mois dernier pour vous demander,eval2011-16_2
des informations concernant les modalités de remboursement des,des informations concernant les modalités de remboursement des,eval2011-16_3
soirs dentaires.,soins dentaires.,eval2011-16_4
Espérant que vous prendrez le temps de répondre à ma,Espérant que vous prendrez le temps de répondre à ma,eval2011-16_5
"requête, je vous prie d'agréer Madame, Monsieur, l'expression de mes","requête, je vous prie d'agréer Madame, Monsieur, l'expression de mes",eval2011-16_6
salutations distinguées.,salutations distinguées.,eval2011-16_7
Comme convenu lors de notre entretien télé-,Comme convenu lors de notre entretien télé-,eval2011-17_0
"-phomique, je vous confirme ma demande par écuit","phonique, je vous confirme ma demande par écrit",eval2011-17_1
de résiliation d'assurance auto pour le motif suivant :,de résiliation d'assurance auto pour le motif suivant :,eval2011-17_2
"vente de mon véhicule, et à la date de la vente.","vente de mon véhicule, et à la date de la vente :",eval2011-17_3
12 mors 2007.,12 mars 2007.,eval2011-17_4
"Cordialement,","Cordialement,",eval2011-17_5
"Je tiens à faire une réclamation. En effet, je","Je tiens à faire une réclamation. En effet, je",eval2011-18_0
"ne suis pas du tout satisfaite, car il y a une","ne suis pas du tout satisfaite, car il y a une",eval2011-18_1
erreur dans le produit qu'on m'a livré.,erreur dans le produit qu'on m'a livré.,eval2011-18_2
Je l'ai commandé chez:,Je l'ai commandé chez :,eval2011-18_3
Bef télécom,Bof télécom,eval2011-18_4
Boulevand Naquet,Boulevard Naquet,eval2011-18_5
84 200 Corpentras.,84200 Carpentras,eval2011-18_6
"Par conséquent, je vens être remboursé dans les","Par conséquent, je veux être remboursé dans les",eval2011-18_7
meilleurs délai.,meilleurs délai.,eval2011-18_8
Je vous prie d'agréer mes salutations les plus distingués,Je vous prie d'agréer mes salutations les plus distinguées,eval2011-18_9
Je souhaiterais recevoir de la documentation,Je souhaiterais recevoir de la documentation,eval2011-19_0
concernant les contrats d'assurance vie car je ne marie pa.,concernant les contrats d'assurance vie car je me marie pro-,eval2011-19_1
chainement et nous songeons à prendre quelques dispositions,chainement et nous songeons à prendre quelques dispositions,eval2011-19_2
"Dans cette attente, je vous prie d'agréer, Monsieur,","Dans cette attente, je vous prie d'agréer, Monsieur",eval2011-19_3
Mestres sincères salutations.,mes très sincères salutations.,eval2011-19_4
